company,best_index,min_dtw,start_time,end_time
ABT,18752,3111754.5591666675,2004-11-18 00:00:00,2005-10-26 00:00:00
ACN,283568,2743632.821666667,2004-11-22 00:00:00,2005-10-30 00:00:00
ADBE,367886,2311463.943333334,2003-11-27 00:00:00,2004-11-03 00:00:00
AMD,266232,3113016.7049999987,2004-04-12 00:00:00,2005-03-20 00:00:00
AMGN,41376,2878576.378333334,2005-03-04 00:00:00,2006-02-09 00:00:00
AMZN,222313,3035101.942833333,2003-11-17 00:00:00,2004-10-24 00:00:00
APPL,341633,3008888.8249999997,2004-03-19 00:00:00,2005-02-24 00:00:00
AVGO,26714,1688830.3166666667,2011-11-18 00:00:00,2012-10-25 00:00:00
BAC,247714,3233464.9699999997,2001-07-02 00:00:00,2002-06-09 00:00:00
BRK,53650,2711264.9833333325,2004-05-30 00:00:00,2005-05-07 00:00:00
CAT,333217,2856139.050000001,2005-03-04 00:00:00,2006-02-09 00:00:00
COST,393349,2318497.030000001,2004-03-19 00:00:00,2005-02-24 00:00:00
CRM,120842,2893515.5916666663,2007-04-20 00:00:00,2008-03-27 00:00:00
CSCO,305507,3227279.185058333,2000-05-24 00:00:00,2001-05-01 00:00:00
DIS,70486,3012905.380833332,2004-10-21 00:00:00,2005-09-28 00:00:00
DOLLAR,314349,3124266.7371428567,2000-05-14 00:00:00,2001-04-21 00:00:00
GE,62168,2868075.722425,2004-11-18 00:00:00,2005-10-26 00:00:00
GOLD,413177,45531.49999999995,1986-04-25 00:00:00,1987-04-02 00:00:00
GOOGL,214853,3090126.5270000002,2007-06-15 00:00:00,2008-05-22 00:00:00
HD,274876,2728545.3716666684,2003-12-12 00:00:00,2004-11-18 00:00:00
INTU,197929,2383146.8041666667,2004-11-18 00:00:00,2005-10-26 00:00:00
IOEU4,48397,1895221.6602474407,2013-10-18 00:00:00,2014-09-25 00:00:00
JNJ,105794,3027202.402500001,2004-01-09 00:00:00,2004-12-16 00:00:00
KO,350328,3217208.6400000006,2004-01-08 00:00:00,2004-12-15 00:00:00
LLY,182354,2366084.9616666674,2004-05-30 00:00:00,2005-05-07 00:00:00
LMAHD,32304,101625.62499999997,2003-03-09 00:00:00,2004-02-14 00:00:00
LMCAD,256085,143604.06666666653,2000-06-02 00:00:00,2001-05-10 00:00:00
MA,114265,2625320.3500000006,2009-03-19 00:00:00,2010-02-24 00:00:00
MCD,324511,2835276.6149999993,2004-03-09 00:00:00,2005-02-14 00:00:00
MSFT,239968,2722618.0700000003,2004-03-19 00:00:00,2005-02-24 00:00:00
NFLX,97580,2390468.326666667,2005-07-14 00:00:00,2006-06-21 00:00:00
NVDA,231202,2472900.006666666,2004-03-19 00:00:00,2005-02-24 00:00:00
ORCL,206451,3128470.813333333,2004-03-19 00:00:00,2005-02-24 00:00:00
PEP,173611,3014601.866666668,2004-03-28 00:00:00,2005-03-05 00:00:00
PFE,134236,3235090.671666667,2004-12-08 00:00:00,2005-11-15 00:00:00
PG,359176,3064496.4399999995,2004-01-22 00:00:00,2004-12-29 00:00:00
QCOM,10074,3055879.4216666673,2003-12-22 00:00:00,2004-11-28 00:00:00
TSLA,167845,2797441.5950749996,2012-05-16 00:00:00,2013-04-23 00:00:00
TXN,401919,3000296.0141666653,2004-10-29 00:00:00,2005-10-06 00:00:00
UNH,151020,2436768.6149999993,2004-02-19 00:00:00,2005-01-26 00:00:00
USDCNY,290691,3311093.3653333327,2007-08-21 00:00:00,2008-07-28 00:00:00
V,128005,2901996.8683333336,2010-09-23 00:00:00,2011-08-31 00:00:00
VZ,142446,3223034.1566666653,2004-07-25 00:00:00,2005-07-02 00:00:00
WGC,1068,3225158.341666665,2003-04-26 00:00:00,2004-04-02 00:00:00
WMT,89060,3231905.3780500004,2004-03-19 00:00:00,2005-02-24 00:00:00
WTI,189839,3256784.049999997,2005-08-01 00:00:00,2006-07-09 00:00:00
XOM,298171,3135813.7091666656,2004-04-23 00:00:00,2005-03-31 00:00:00
cvx,159771,3033092.0916666673,2004-03-04 00:00:00,2005-02-09 00:00:00
jpm us equity,78917,3052786.9666666654,2003-11-21 00:00:00,2004-10-28 00:00:00
